"Concatenated","relaxed.arboreal","toepads"
"Anolis_lemurinus","1",1
"Anolis_limifrons","1",1
"Anolis_lineatopus","1",1
"Anolis_lineatus","1",1
"Anolis_lionotus","0",1
"Anolis_lividus","1",1
"Anolis_longiceps","1",1
"Anolis_longitibialis","1",1
"Anolis_loveridgei","1",1
"Anolis_loysiana","1",1
"Anolis_luciae","1",1
"Anolis_lucius","1",1
"Anolis_luteogularis","1",1
"Anolis_macilentus","1",1
"Anolis_maculigula","0",1
"Anolis_marcanoi","1",1
"Anolis_marmoratus","1",1
"Anolis_marron","1",1
"Anolis_maynardi","1",1
"Anolis_meridionalis","1",1
"Anolis_mestrei","1",1
"Anolis_microtus","1",1
"Anolis_monensis","1",1
"Anolis_monticola","0",1
"Anolis_neblininus","1",1
"Anolis_noblei","1",1
"Anolis_nubilus","1",1
"Anolis_occultus","1",1
"Anolis_ocelloscapularis","1",1
"Anolis_oculatus","1",1
"Anolis_olssoni","1",1
"Anolis_onca","1",0
"Anolis_opalinus","1",1
"Anolis_ophiolepis","0",1
"Anolis_ortonii","1",1
"Anolis_oxylophus","0",1
"Anolis_paternus","1",1
"Anolis_peraccae","1",1
"Anolis_placidus","1",1
"Anolis_poecilopus","0",1
"Anolis_pogus","0",1
"Anolis_polylepis","1",1
"Anolis_poncensis","1",1
"Anolis_porcatus","1",1
"Anolis_porcus","1",1
"Anolis_princeps","1",1
"Anolis_pulchellus","1",1
"Anolis_pumilus","1",1
"Anolis_punctatus","1",1
"Anolis_purpurescens","1",1
"Anolis_purpurgularis","1",1
"Anolis_quadriocellifer","1",1
"Anolis_quercorum","1",1
"Anolis_reconditus","1",1
"Anolis_rejectus","1",1
"Anolis_richardii","1",1
"Anolis_ricordii","1",1
"Anolis_roquet","1",1
"Anolis_rubribarbaris","0",1
"Anolis_sabanus","1",1
"Anolis_sagrei","1",1
"Anolis_scriptus","1",1
"Anolis_semilineatus","1",1
"Anolis_sericeus","1",1
"Anolis_sheplani","1",1
"Anolis_shrevei","0",1
"Anolis_singularis","1",1
"Anolis_smallwoodi","1",1
"Anolis_smaragdinus","1",1
"Anolis_sminthus","1",1
"Anolis_strahmi","0",1
"Anolis_stratulus","1",1
"Anolis_terraealtae","1",1
"Anolis_tigrinus","1",1
"Anolis_trachyderma","1",1
"Anolis_transversalis","1",1
"Anolis_trinitatis","1",1
"Anolis_tropidogaster","1",1
"Anolis_tropidonotus","1",1
"Anolis_uniformis","0",1
"Anolis_utilensis","1",1
"Anolis_valencienni","1",1
"Anolis_vanidicus","1",1
"Anolis_vanzolinii","1",1
"Anolis_vermiculatus","0",1
"Anolis_wattsii","1",1
"Anolis_websteri","1",1
"Anolis_whitemani","1",1
"Anolis_woodi","1",1
"Anolis_zeus","1",1
"Apathya_cappadocica","1",0
"Aphaniotis_fusca","1",0
"Archaeolacerta_bedriagae","0",0
